iter	Logloss
0	0.6884911672
1	0.6834786388
2	0.6777306024
3	0.6727683383
4	0.6675487091
5	0.6624371438
6	0.6586743509
7	0.6533123412
8	0.6487257243
9	0.6441855982
10	0.6400158287
11	0.6352231638
12	0.631078343
13	0.6267964877
14	0.6230058062
15	0.6191843927
16	0.6150867285
17	0.6117567587
18	0.6077071183
19	0.6037887426
20	0.6000413081
21	0.5965692712
22	0.593175197
23	0.5898759322
24	0.586814676
25	0.5835851509
26	0.5802047224
27	0.5768948864
28	0.5735522865
29	0.5704166109
30	0.5669032611
31	0.563731608
32	0.5612979843
33	0.558889168
34	0.5554341377
35	0.5525393007
36	0.5499952723
37	0.5469648193
38	0.5450138402
39	0.542609722
40	0.5401109655
41	0.5372399011
42	0.5349621758
43	0.5326063813
44	0.5302975087
45	0.5285602577
46	0.5261586587
47	0.5244143755
48	0.5227408953
49	0.5210287642
50	0.518873281
51	0.5165300461
52	0.5145190461
53	0.5125673113
54	0.5111605235
55	0.5092601469
56	0.5074051101
57	0.5057556625
58	0.50436166
59	0.5026819546
60	0.5010060056
61	0.4990528751
62	0.497201733
63	0.4955713754
64	0.4943723515
65	0.4926505388
66	0.4916501431
67	0.4903687081
68	0.4886980501
69	0.4869876797
70	0.4851429887
71	0.4836860656
72	0.4823233419
73	0.4808635759
74	0.4792949868
75	0.4778251204
76	0.4766863402
77	0.4755448158
78	0.4746791569
79	0.4736903628
80	0.4723498246
81	0.4709099221
82	0.4693865056
83	0.4683406698
84	0.4672778446
85	0.4660182114
86	0.4649892403
87	0.4637386179
88	0.4626695634
89	0.4615742527
90	0.4607554938
91	0.4597481226
92	0.4587010438
93	0.4579134664
94	0.4572160636
95	0.4563414966
96	0.455353427
97	0.4543699316
98	0.4533187444
99	0.4525203775
100	0.4519034316
101	0.4507245442
102	0.450022562
103	0.4493260489
104	0.4487776659
105	0.4478424556
106	0.4464316399
107	0.4457883384
108	0.4449165201
109	0.4436628171
110	0.4429452465
111	0.442266101
112	0.441238683
113	0.4403362688
114	0.4395839742
115	0.4384094741
116	0.43744493
117	0.4370650893
118	0.4363537198
119	0.4359060599
120	0.4350593886
121	0.4348039976
122	0.4341593972
123	0.4334048205
124	0.4330035998
125	0.4324738031
126	0.4318453416
127	0.4313424072
128	0.4306325319
129	0.4299586684
130	0.4293914417
131	0.4287390695
132	0.4277794231
133	0.4275856929
134	0.426681092
135	0.426117363
136	0.4255664874
137	0.4250859284
138	0.4244405762
139	0.4241972339
140	0.4237487047
141	0.4234929785
142	0.4231349714
143	0.4228908013
144	0.4223099935
145	0.4216362015
146	0.4211488667
147	0.4207179133
148	0.4203023018
149	0.4195935421
150	0.4191572426
151	0.4188312143
152	0.4184648
153	0.4180210037
154	0.4174056114
155	0.4167023751
156	0.4161929305
157	0.4157186184
158	0.4154629674
159	0.4152225332
160	0.4149735018
161	0.4147683256
162	0.4145655276
163	0.4137777849
164	0.4132259293
165	0.4128760688
166	0.4126303594
167	0.4122594122
168	0.4118914251
169	0.4116048159
170	0.4114305111
171	0.4112589587
172	0.4110089551
173	0.4103629324
174	0.4102354578
175	0.4098936529
176	0.4090525055
177	0.4085158204
178	0.4081250275
179	0.4077934744
180	0.4074363938
181	0.4072066323
182	0.4066120452
183	0.4062926968
184	0.4060114817
185	0.4057442734
186	0.4053510567
187	0.4051049816
188	0.4049087391
189	0.4045605776
190	0.4041527072
191	0.4037630817
192	0.403446438
193	0.4030389949
194	0.4023525356
195	0.4017896038
196	0.4015327972
197	0.40108083
198	0.400410006
199	0.4002173937
200	0.3997956023
201	0.3996954051
202	0.3989761301
203	0.3987469568
204	0.3985429485
205	0.3983875674
206	0.3982249895
207	0.3980400273
208	0.3977210216
209	0.3973199982
210	0.3971121184
211	0.3966037968
212	0.3961924856
213	0.3957920825
214	0.3956766519
215	0.395286477
216	0.3948241695
217	0.394440122
218	0.3940897004
219	0.3933648721
220	0.3932329729
221	0.3930318422
222	0.3928677383
223	0.3925965914
224	0.3923992804
225	0.3921955085
226	0.3920336669
227	0.3919117188
228	0.3917643819
229	0.3915904382
230	0.3914264688
231	0.391333014
232	0.391102856
233	0.3907014871
234	0.3905140142
235	0.390395531
236	0.3902398426
237	0.3901038813
238	0.3896732549
239	0.3895571624
240	0.3894593005
241	0.3893573856
242	0.3890757763
243	0.3888868496
244	0.3887547535
245	0.3885062635
246	0.3882556953
247	0.3880926678
248	0.3878487319
249	0.3877611657
250	0.3875899335
251	0.387390549
252	0.3870925585
253	0.3869935681
254	0.3865955002
255	0.3863936291
256	0.3862115752
257	0.3860895266
258	0.385924979
259	0.3858013233
260	0.3857445026
261	0.3855755561
262	0.3852931574
263	0.3851194333
264	0.3849602594
265	0.3848759383
266	0.3847490778
267	0.3844869593
268	0.3843338736
269	0.3842390132
270	0.3841512846
271	0.3840537521
272	0.3839631276
273	0.383732285
274	0.3836496119
275	0.3835076079
276	0.3829704577
277	0.3828763688
278	0.3827583148
279	0.382616146
280	0.3823631512
281	0.3820900556
282	0.3819626812
283	0.3816949171
284	0.3812477122
285	0.3809829292
286	0.3807813096
287	0.3805852317
288	0.3805070303
289	0.3803653868
290	0.3802660536
291	0.3801552108
292	0.3800137125
293	0.3798772174
294	0.379305927
295	0.3791305905
296	0.3789339967
297	0.3788687907
298	0.378734553
299	0.3784291153
300	0.3783417036
301	0.3781539249
302	0.3780806991
303	0.3779292485
304	0.3777472886
305	0.3776646826
306	0.3775863916
307	0.3775329586
308	0.3774678079
309	0.3773632011
310	0.3772308906
311	0.3768889143
312	0.3768056623
313	0.3766784848
314	0.3766235593
315	0.3765717011
316	0.3765476952
317	0.3763468362
318	0.3762908133
319	0.3761379704
320	0.3760371511
321	0.3759267952
322	0.3758487984
323	0.3757179038
324	0.3755140048
325	0.3753962351
326	0.3752277914
327	0.3751736508
328	0.3750320883
329	0.3749212507
330	0.3748638181
331	0.3747975773
332	0.3747258689
333	0.3746432715
334	0.3745121106
335	0.3744386568
336	0.3743188102
337	0.3742532585
338	0.3741279592
339	0.3740478142
340	0.3738777466
341	0.3738023958
342	0.3736543806
343	0.3735657843
344	0.3734470934
345	0.3733290597
346	0.3732484686
347	0.3731598356
348	0.3729917269
349	0.3729169543
350	0.3727688442
351	0.3726909741
352	0.372619586
353	0.3724577514
354	0.3723559177
355	0.3722575068
356	0.3721358011
357	0.3720476155
358	0.3719320297
359	0.3717917478
360	0.3717326712
361	0.3716438474
362	0.3715823299
363	0.3714945612
364	0.3713959756
365	0.3712868646
366	0.3710232225
367	0.3709092336
368	0.3706880353
369	0.370609198
370	0.3705053223
371	0.3703757354
372	0.3702002598
373	0.3700921905
374	0.3700342592
375	0.3698907491
376	0.3697777924
377	0.3697244684
378	0.3695453685
379	0.3694680498
380	0.3694105396
381	0.3693688246
382	0.369266617
383	0.3692300109
384	0.3691496975
385	0.3690238636
386	0.3689664348
387	0.3689012234
388	0.3687737527
389	0.3686080747
390	0.3685258875
391	0.3683751497
392	0.3683129879
393	0.3681592627
394	0.3681086713
395	0.3680365397
396	0.3678506256
397	0.3677222894
398	0.3676637354
399	0.3675247408
400	0.3674137215
401	0.3672338728
402	0.367171703
403	0.3671077494
404	0.3670046293
405	0.3667057404
406	0.3666046754
407	0.3665531248
408	0.3664822559
409	0.3663785801
410	0.3662974149
411	0.3662139314
412	0.3661405631
413	0.3660074698
414	0.3659408007
415	0.3655464557
416	0.3654809974
417	0.3654211268
418	0.3653203929
419	0.3652451849
420	0.3651771579
421	0.3651307222
422	0.3649991855
423	0.3649212817
424	0.364795772
425	0.3647160932
426	0.3646003669
427	0.3645416053
428	0.3644731863
429	0.3643915476
430	0.3642880182
431	0.3641822273
432	0.3640745994
433	0.3640025235
434	0.3639138516
435	0.3638201625
436	0.3637285647
437	0.3636827319
438	0.3636071557
439	0.3635342263
440	0.3633551823
441	0.3632497527
442	0.3631487185
443	0.3630781361
444	0.3629917163
445	0.3628863295
446	0.362781996
447	0.3627202212
448	0.3626164608
449	0.3624588256
450	0.3623284913
451	0.3622478615
452	0.3621653485
453	0.3620942599
454	0.3619500848
455	0.3618765518
456	0.3617858037
457	0.3613451045
458	0.3612573406
459	0.3611902657
460	0.3611274344
461	0.36100992
462	0.3609532177
463	0.3608651591
464	0.3607351787
465	0.3606643581
466	0.360594389
467	0.3604379206
468	0.3604017532
469	0.3600892318
470	0.3599856067
471	0.3598991711
472	0.3598269719
473	0.359774788
474	0.3596721954
475	0.3594635138
476	0.3593972
477	0.3593197559
478	0.3591618135
479	0.3590919629
480	0.3589830122
481	0.3589075929
482	0.3588530443
483	0.3587000443
484	0.3586050057
485	0.3585161434
486	0.3583563736
487	0.3583001221
488	0.3582071598
489	0.3581136002
490	0.3580336489
491	0.3579361075
492	0.3578781808
493	0.3578178795
494	0.3576146425
495	0.3575496742
496	0.3573195831
497	0.357252157
498	0.357194042
499	0.3570741044
500	0.3566587535
501	0.3566030831
502	0.3565065532
503	0.3564325156
504	0.3563839592
505	0.3562862728
506	0.3562271145
